"","Region Code","Region Name","STP Code","STP Name","Org Code","Org Name","Care Setting","Total Responses","HSCIC Workforce Headcount","Engagement Score","Advocacy","Involvement","Motivation","time"
"20","Y56","LONDON COMMISSIONING REGION","QMF","East London Health & Care Partnership (STP)","RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","Acute and Acute & Community Trusts",420,6783,6.06018518518519,"5.7103174603174605","5.9186507936507944","6.5515873015873014","202122Q4"
"21","Y56","LONDON COMMISSIONING REGION","QMF","East London Health & Care Partnership (STP)","RQX","HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","Acute and Acute & Community Trusts",767,3592,6.96898285881337,"7.30225988700565","6.68704418704419","6.91764450239026","202223Q1"
"22","Y56","LONDON COMMISSIONING REGION","QMF","East London Health & Care Partnership (STP)","RQX","HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","Acute and Acute & Community Trusts",866,3550,7.06348896479402,"7.3993925588458618","6.7953083617101786","6.9957659738260194","202122Q4"
"23","Y56","LONDON COMMISSIONING REGION","QMF","East London Health & Care Partnership (STP)","RWK","EAST LONDON NHS FOUNDATION TRUST","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",1059,5978,7.1143270805632,"7.25684608120869","6.94886186467103","7.13727329580988","202223Q1"
"24","Y56","LONDON COMMISSIONING REGION","QMF","East London Health & Care Partnership (STP)","RWK","EAST LONDON NHS FOUNDATION TRUST","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",1418,5851,7.1725375267494,"7.4112599905970846","6.9641614474599862","7.1421911421911428","202122Q4"
"25","Y56","LONDON COMMISSIONING REGION","QMF","NHS NORTH EAST LONDON INTEGRATED CARE BOARD","R1H","BARTS HEALTH NHS TRUST","Acute and Acute & Community Trusts",435,17203,6.01149425287356,"5.9176245210728","5.88697318007663","6.22988505747126",NA
"26","Y56","LONDON COMMISSIONING REGION","QMF","NHS NORTH EAST LONDON INTEGRATED CARE BOARD","RAT","NORTH EAST LONDON NHS FOUNDATION TRUST","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",616,6702,6.67613636363636,"6.64231601731602","6.59632034632035","6.78977272727273",NA
"27","Y56","LONDON COMMISSIONING REGION","QMF","NHS NORTH EAST LONDON INTEGRATED CARE BOARD","RQX","HOMERTON HEALTHCARE NHS FOUNDATION TRUST","Acute and Acute & Community Trusts",693,3922,6.85007146434262,"7.16831916902738","6.63466097676624","6.74723424723425",NA
"28","Y56","LONDON COMMISSIONING REGION","QMF","NHS NORTH EAST LONDON INTEGRATED CARE BOARD","RWK","EAST LONDON NHS FOUNDATION TRUST","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",906,6545,7.13913814907192,"7.29764532744665","6.96789321789322","7.1518759018759",NA
"29","Y56","LONDON COMMISSIONING REGION","QMJ","NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD","RAL","ROYAL FREE LONDON NHS FOUNDATION TRUST","Acute and Acute & Community Trusts",672,10684,5.98503637566138,"5.95982142857143","5.68452380952381","6.31076388888889",NA
"30","Y56","LONDON COMMISSIONING REGION","QMJ","NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD","RAP","NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","Acute and Acute & Community Trusts",658,3818,6.46593925151904,"6.03318250377074","6.38515196811161","6.97948328267477",NA
"31","Y56","LONDON COMMISSIONING REGION","QMJ","NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD","RKE","WHITTINGTON HEALTH NHS TRUST","Acute and Acute & Community Trusts",688,4464,6.52737403100775,"6.44743217054264","6.38323643410853","6.75145348837209",NA
"32","Y56","LONDON COMMISSIONING REGION","QMJ","NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD","RNK","TAVISTOCK AND PORTMAN NHS FOUNDATION TRUST","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",95,767,5.2953216374269,"4.84210526315789","5.59649122807017","5.44736842105263",NA
"33","Y56","LONDON COMMISSIONING REGION","QMJ","NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD","RP4","GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST","Acute Specialist Trusts",954,5520,7.00339672037785,"7.45668745668746","6.66146916146916","6.89203354297694",NA
"34","Y56","LONDON COMMISSIONING REGION","QMJ","NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD","RP6","MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST","Acute Specialist Trusts",31,2283,5.67204301075269,"5.59139784946237","5.56451612903226","5.86021505376344",NA
"35","Y56","LONDON COMMISSIONING REGION","QMJ","NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD","RRP","BARNET, ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",154,3407,6.08225108225108,"5.44372294372294","6.30952380952381","6.49350649350649",NA
"36","Y56","LONDON COMMISSIONING REGION","QMJ","NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD","RRV","UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST","Acute and Acute & Community Trusts",508,10115,7.1576990376203,"7.68044619422572","6.99475065616798","6.79790026246719",NA
"37","Y56","LONDON COMMISSIONING REGION","QMJ","NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD","TAF","CAMDEN AND ISLINGTON NHS FOUNDATION TRUST","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",444,2293,6.88482012967652,"6.78490990990991","6.83958793230316","7.02996254681648",NA
"38","Y56","LONDON COMMISSIONING REGION","QMJ","North London Partners in Health & Care (STP)","RAL","ROYAL FREE LONDON NHS FOUNDATION TRUST","Acute and Acute & Community Trusts",110,9812,6.13888888888889,"6.2196969696969697","5.8106060606060606","6.3863636363636367","202122Q4"
"39","Y56","LONDON COMMISSIONING REGION","QMJ","North London Partners in Health & Care (STP)","RAL","ROYAL FREE LONDON NHS FOUNDATION TRUST","Acute and Acute & Community Trusts",364,9955,5.89514652014652,"5.69139194139194","5.73031135531136","6.26373626373626","202223Q1"
"40","Y56","LONDON COMMISSIONING REGION","QMJ","North London Partners in Health & Care (STP)","RAP","NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","Acute and Acute & Community Trusts",680,3556,6.5701548458715,"6.27083333333333","6.33430373605046","7.10532746823069","202223Q1"
"41","Y56","LONDON COMMISSIONING REGION","QMJ","North London Partners in Health & Care (STP)","RKE","WHITTINGTON HEALTH NHS TRUST","Acute and Acute & Community Trusts",286,4003,6.38014763014763,"6.2907925407925411","6.1858974358974361","6.6637529137529139","202122Q4"
"42","Y56","LONDON COMMISSIONING REGION","QMJ","North London Partners in Health & Care (STP)","RKE","WHITTINGTON HEALTH NHS TRUST","Acute and Acute & Community Trusts",296,4028,6.59159159159159,"6.43018018018018","6.46959459459459","6.875","202223Q1"
"43","Y56","LONDON COMMISSIONING REGION","QMJ","North London Partners in Health & Care (STP)","RNK","TAVISTOCK AND PORTMAN NHS FOUNDATION TRUST","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",243,654,6.15471096214788,"5.83333333333333","6.29482071713147","6.33597883597884","202223Q1"
"44","Y56","LONDON COMMISSIONING REGION","QMJ","North London Partners in Health & Care (STP)","RP4","GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST","Acute Specialist Trusts",129,5112,7.04957596236666,"7.5384615384615383","6.8346253229974154","6.7756410256410255","202122Q4"
"45","Y56","LONDON COMMISSIONING REGION","QMJ","North London Partners in Health & Care (STP)","RP4","GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST","Acute Specialist Trusts",1007,5127,7.08579384926079,"7.54834480498197","6.77507447864945","6.93396226415094","202223Q1"
"46","Y56","LONDON COMMISSIONING REGION","QMJ","North London Partners in Health & Care (STP)","RP6","MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST","Acute Specialist Trusts",14,2082,5.73412698412698,"6.4880952380952381","4.9404761904761907","5.7738095238095237","202122Q4"
"47","Y56","LONDON COMMISSIONING REGION","QMJ","North London Partners in Health & Care (STP)","RP6","MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST","Acute Specialist Trusts",20,2082,6.43055555555555,"7","6.04166666666667","6.25","202223Q1"
"48","Y56","LONDON COMMISSIONING REGION","QMJ","North London Partners in Health & Care (STP)","RRP","BARNET, ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",218,3066,6.29332313965341,"5.8639143730886847","6.4793577981651378","6.5366972477064218","202122Q4"
"49","Y56","LONDON COMMISSIONING REGION","QMJ","North London Partners in Health & Care (STP)","RRP","BARNET, ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",222,3120,6.09109109109109,"5.62687687687688","6.03603603603604","6.61036036036036","202223Q1"
"50","Y56","LONDON COMMISSIONING REGION","QMJ","North London Partners in Health & Care (STP)","RRV","UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST","Acute and Acute & Community Trusts",392,9477,6.75949546485261,"7.26190476190476","6.49447278911565","6.52210884353741","202223Q1"
"51","Y56","LONDON COMMISSIONING REGION","QMJ","North London Partners in Health & Care (STP)","RRV","UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST","Acute and Acute & Community Trusts",663,9370,6.82461873638344,"7.3579688285570635","6.5196078431372548","6.5962795374560077","202122Q4"
"52","Y56","LONDON COMMISSIONING REGION","QMJ","North London Partners in Health & Care (STP)","RV3","CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",37,6889,5.69069069069069,"5.6756756756756754","5.4954954954954953","5.9009009009009015","202122Q4"
"53","Y56","LONDON COMMISSIONING REGION","QMJ","North London Partners in Health & Care (STP)","RV3","CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",58,7029,5.8955938697318,"5.5316091954023","5.84770114942529","6.30747126436782","202223Q1"
"54","Y56","LONDON COMMISSIONING REGION","QMJ","North London Partners in Health & Care (STP)","TAF","CAMDEN AND ISLINGTON NHS FOUNDATION TRUST","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",396,2125,6.98235955096812,"6.98232323232323","6.96310116086235","7.00165425971878","202223Q1"
"55","Y56","LONDON COMMISSIONING REGION","QRV","NHS NORTH WEST LONDON INTEGRATED CARE BOARD","RAN","ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST","Acute Specialist Trusts",74,1574,7.0533033033033,"7.47747747747748","7.02702702702703","6.65540540540541",NA
"56","Y56","LONDON COMMISSIONING REGION","QRV","NHS NORTH WEST LONDON INTEGRATED CARE BOARD","RAS","THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST","Acute and Acute & Community Trusts",62,3572,6.70250896057348,"5.92741935483871","7.1505376344086","7.02956989247312",NA
"57","Y56","LONDON COMMISSIONING REGION","QRV","NHS NORTH WEST LONDON INTEGRATED CARE BOARD","RPY","THE ROYAL MARSDEN NHS FOUNDATION TRUST","Acute Specialist Trusts",362,4293,6.69736034376918,"7.3158379373849","6.42034990791897","6.35589318600368",NA
"58","Y56","LONDON COMMISSIONING REGION","QRV","NHS NORTH WEST LONDON INTEGRATED CARE BOARD","RYJ","IMPERIAL COLLEGE HEALTHCARE NHS TRUST","Acute and Acute & Community Trusts",91,12988,6.25457875457875,"6.29120879120879","6.07142857142857","6.4010989010989",NA
"59","Y56","LONDON COMMISSIONING REGION","QRV","NHS NORTH WEST LONDON INTEGRATED CARE BOARD","RYX","CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST","Community Trusts",223,4376,6.91704035874439,"6.60313901345291","7.05156950672646","7.09641255605381",NA
"60","Y56","LONDON COMMISSIONING REGION","QRV","North West London Health & Care Partnership (STP)","RAN","ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST","Acute Specialist Trusts",222,1442,6.78428428428429,"7.02702702702703","6.51651651651652","6.80930930930931","202223Q1"
"61","Y56","LONDON COMMISSIONING REGION","QRV","North West London Health & Care Partnership (STP)","RAS","THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST","Acute and Acute & Community Trusts",21,3164,6.2962962962963,"5.3968253968253963","6.666666666666667","6.825396825396826","202122Q4"
"62","Y56","LONDON COMMISSIONING REGION","QRV","North West London Health & Care Partnership (STP)","RAS","THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST","Acute and Acute & Community Trusts",95,3225,6.32456140350877,"5.54385964912281","6.47368421052632","6.95614035087719","202223Q1"
"63","Y56","LONDON COMMISSIONING REGION","QRV","North West London Health & Care Partnership (STP)","RKL","WEST LONDON NHS TRUST","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",30,3793,5.62037037037037,"5.2222222222222223","5.3888888888888884","6.25","202122Q4"
"64","Y56","LONDON COMMISSIONING REGION","QRV","North West London Health & Care Partnership (STP)","RPY","THE ROYAL MARSDEN NHS FOUNDATION TRUST","Acute Specialist Trusts",340,4019,6.82516339869281,"7.38725490196078","6.52941176470588","6.55882352941176","202223Q1"
"65","Y56","LONDON COMMISSIONING REGION","QRV","North West London Health & Care Partnership (STP)","RQM","CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST","Acute and Acute & Community Trusts",18,5899,6.37345679012346,"6.7592592592592595","6.6203703703703702","5.7407407407407405","202122Q4"
"66","Y56","LONDON COMMISSIONING REGION","QRV","North West London Health & Care Partnership (STP)","RYJ","IMPERIAL COLLEGE HEALTHCARE NHS TRUST","Acute and Acute & Community Trusts",80,12149,6.37847222222222,"6.520833333333333","6","6.614583333333333","202122Q4"
"67","Y56","LONDON COMMISSIONING REGION","QRV","North West London Health & Care Partnership (STP)","RYJ","IMPERIAL COLLEGE HEALTHCARE NHS TRUST","Acute and Acute & Community Trusts",117,12294,6.19420702754036,"6.59544159544159","5.78347578347578","6.2037037037037","202223Q1"
"68","Y56","LONDON COMMISSIONING REGION","QRV","North West London Health & Care Partnership (STP)","RYX","CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST","Community Trusts",154,4006,6.3997113997114,"6.1309523809523805","6.2824675324675328","6.7857142857142856","202122Q4"
"69","Y56","LONDON COMMISSIONING REGION","QRV","North West London Health & Care Partnership (STP)","RYX","CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST","Community Trusts",340,4043,6.76797385620915,"6.58823529411765","6.55882352941176","7.15686274509804","202223Q1"
"70","Y56","LONDON COMMISSIONING REGION","QWE","NHS SOUTH WEST LONDON INTEGRATED CARE BOARD","RJ7","ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","Acute and Acute & Community Trusts",901,9298,6.1971266494019,"6.20514243433222","5.97021827598964","6.41601923788383",NA
"71","Y56","LONDON COMMISSIONING REGION","QWE","NHS SOUTH WEST LONDON INTEGRATED CARE BOARD","RQY","SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",126,2612,6.72839506172839,"6.57407407407407","6.96428571428571","6.6468253968254",NA
"72","Y56","LONDON COMMISSIONING REGION","QWE","NHS SOUTH WEST LONDON INTEGRATED CARE BOARD","RVR","EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST","Acute and Acute & Community Trusts",521,6858,6.01194284495628,"5.81733845169546","5.79334612923864","6.42514395393474",NA
"73","Y56","LONDON COMMISSIONING REGION","QWE","NHS SOUTH WEST LONDON INTEGRATED CARE BOARD","RY9","HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST","Community Trusts",96,1244,7.09490740740741,"7.21354166666667","6.96180555555556","7.109375",NA
"74","Y56","LONDON COMMISSIONING REGION","QWE","South West London Health & Care Partnership (STP)","RAX","KINGSTON HOSPITAL NHS FOUNDATION TRUST","Acute and Acute & Community Trusts",56,3244,6.11607142857143,"6.6220238095238093","5.4464285714285712","6.2797619047619051","202122Q4"
"75","Y56","LONDON COMMISSIONING REGION","QWE","South West London Health & Care Partnership (STP)","RAX","KINGSTON HOSPITAL NHS FOUNDATION TRUST","Acute and Acute & Community Trusts",167,3270,5.94976713240186,"6.17764471057884","5.65369261477046","6.01796407185629","202223Q1"
"76","Y56","LONDON COMMISSIONING REGION","QWE","South West London Health & Care Partnership (STP)","RJ6","CROYDON HEALTH SERVICES NHS TRUST","Acute and Acute & Community Trusts",205,3740,5.58130081300813,"4.96747967479675","5.5650406504065","6.21138211382114","202223Q1"
"77","Y56","LONDON COMMISSIONING REGION","QWE","South West London Health & Care Partnership (STP)","RJ7","ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","Acute and Acute & Community Trusts",312,8764,6.30608974358974,"6.3327991452991448","6.0069444444444446","6.5785256410256414","202122Q4"
"78","Y56","LONDON COMMISSIONING REGION","QWE","South West London Health & Care Partnership (STP)","RJ7","ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","Acute and Acute & Community Trusts",382,8843,6.36125654450262,"6.41361256544503","6.02094240837696","6.64921465968586","202223Q1"
"79","Y56","LONDON COMMISSIONING REGION","QWE","South West London Health & Care Partnership (STP)","RQY","SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",50,2320,6.22777777777778,"5.8833333333333337","6.0333333333333341","6.7666666666666666","202122Q4"
"80","Y56","LONDON COMMISSIONING REGION","QWE","South West London Health & Care Partnership (STP)","RQY","SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",64,2377,6.70572916666667,"6.15885416666667","6.78385416666667","7.17447916666667","202223Q1"
"81","Y56","LONDON COMMISSIONING REGION","QWE","South West London Health & Care Partnership (STP)","RVR","EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST","Acute and Acute & Community Trusts",184,6123,6.05676328502415,"5.81521739130435","5.99184782608696","6.36322463768116","202223Q1"
"82","Y56","LONDON COMMISSIONING REGION","QWE","South West London Health & Care Partnership (STP)","RVR","EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST","Acute and Acute & Community Trusts",204,6045,5.98039215686275,"5.7557189542483664","5.8946078431372548","6.2908496732026142","202122Q4"
"83","Y56","LONDON COMMISSIONING REGION","QWE","South West London Health & Care Partnership (STP)","RY9","HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST","Community Trusts",82,1040,6.39227642276423,"6.48373983739837","6.26016260162602","6.43292682926829","202223Q1"
"84","Y56","LONDON COMMISSIONING REGION","QWE","South West London Health & Care Partnership (STP)","RY9","HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST","Community Trusts",180,1045,6.92901234567901,"7.1435185185185182","6.791666666666667","6.8518518518518512","202122Q4"
"85","Y58","SOUTH WEST COMMISSIONING REGION","QJK","Devon STP","RA9","TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST","Acute and Acute & Community Trusts",140,5683,5.78171818859738,"5.4474272930648766","5.8154761904761898","6.0822510822510818","202122Q4"
"86","Y58","SOUTH WEST COMMISSIONING REGION","QJK","Devon STP","RA9","TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST","Acute and Acute & Community Trusts",247,5710,6.0761776394985,"5.79780361757106","5.9919028340081","6.43882646691636","202223Q1"
"87","Y58","SOUTH WEST COMMISSIONING REGION","QJK","Devon STP","RBZ","NORTHERN DEVON HEALTHCARE NHS TRUST","Acute and Acute & Community Trusts",531,2963,6.93278890955677,"7.0841180163214057","6.7007434944237918","7.0135052179251076","202122Q4"
"88","Y58","SOUTH WEST COMMISSIONING REGION","QJK","Devon STP","RBZ","NORTHERN DEVON HEALTHCARE NHS TRUST","Acute and Acute & Community Trusts",543,2998,6.71624471171213,"6.72498465316145","6.59914057704113","6.82460890493381","202223Q1"
"89","Y58","SOUTH WEST COMMISSIONING REGION","QJK","Devon STP","RH8","ROYAL DEVON AND EXETER NHS FOUNDATION TRUST","Acute and Acute & Community Trusts",1134,7666,6.81416758142568,"7.11272780717225","6.48778359511344","6.84199134199134","202223Q1"
"90","Y58","SOUTH WEST COMMISSIONING REGION","QJK","Devon STP","RH8","ROYAL DEVON AND EXETER NHS FOUNDATION TRUST","Acute and Acute & Community Trusts",1181,7581,6.888113450355,"7.1789443974033311","6.5617961711711716","6.9235997824904842","202122Q4"
"91","Y58","SOUTH WEST COMMISSIONING REGION","QJK","Devon STP","RK9","UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST","Acute and Acute & Community Trusts",167,8017,6.5197546084302,"6.6916167664670656","6.2107843137254894","6.6568627450980395","202122Q4"
"92","Y58","SOUTH WEST COMMISSIONING REGION","QJK","Devon STP","RK9","UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST","Acute and Acute & Community Trusts",1265,8063,6.73514298327051,"6.65942028985507","6.55165615141956","6.99435250853691","202223Q1"
"93","Y58","SOUTH WEST COMMISSIONING REGION","QJK","Devon STP","RWV","DEVON PARTNERSHIP NHS TRUST","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",79,3152,6.24824191279887,"5.77004219409283","6.62447257383966","6.35021097046414","202223Q1"
"94","Y58","SOUTH WEST COMMISSIONING REGION","QJK","Devon STP","RWV","DEVON PARTNERSHIP NHS TRUST","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",151,3068,6.69426048565121,"6.4955849889624728","6.8432671081677698","6.7439293598234","202122Q4"
"95","Y58","SOUTH WEST COMMISSIONING REGION","QJK","Devon STP","RYF","SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST","Ambulance Trusts",520,4390,5.84613683065537,"6.0252719129878436","5.3044871794871797","6.2086513994910941","202122Q4"
